id,UTC_date,latitude,longitude,depth,magnitude,region
624203,"2017-10-15 00:05:47.1",38.35,-122.38,7,2.1,"NORTHERN CALIFORNIA"
624205,"2017-10-15 00:31:46.0",-32.01,-70.19,118,3.0,"SAN JUAN - ARGENTINA"
624208,"2017-10-15 00:53:27.0",-26.25,-70.82,23,3.0,"OFFSHORE ATACAMA - CHILE"
624424,"2017-10-15 00:57:54.9",38.68,76.19,10,4.4,"SOUTHERN XINJIANG - CHINA"
624227,"2017-10-15 01:27:56.9",36.94,27.67,7,2.2,"DODECANESE IS.-TURKEY BORDER REG"
624217,"2017-10-15 01:39:41.7",38.87,25.91,8,2.4,"AEGEAN SEA"
624211,"2017-10-15 01:41:52.2",46.91,-112.51,9,4.0,"WESTERN MONTANA"
624212,"2017-10-15 01:43:44.2",35.22,-97.7,7,2.4,OKLAHOMA
624298,"2017-10-15 02:06:09.0",46.9,-112.51,8,2.2,"WESTERN MONTANA"
624216,"2017-10-15 02:20:11.8",41.94,142.22,68,4.4,"HOKKAIDO - JAPAN REGION"
624215,"2017-10-15 02:24:48.7",46.91,-112.51,9,3.6,"WESTERN MONTANA"
624218,"2017-10-15 02:42:30.0",9.89,-86.3,15,3.3,"OFF COAST OF COSTA RICA"
624220,"2017-10-15 02:48:56.7",36.46,-98.77,7,2.8,OKLAHOMA
624706,"2017-10-15 02:53:44.4",37.35,20.51,10,2.2,"IONIAN SEA"
624219,"2017-10-15 02:54:56.5",-22.82,-68.88,109,4.6,"ANTOFAGASTA - CHILE"
624221,"2017-10-15 03:12:43.7",37.38,16.34,25,2.4,"IONIAN SEA"
624222,"2017-10-15 03:17:41.0",40.82,14.43,2,2.5,"SOUTHERN ITALY"
624223,"2017-10-15 03:42:45.7",34.97,26.56,10,4.0,"CRETE - GREECE"
624225,"2017-10-15 03:51:48.0",-21.39,-68.73,116,3.0,"ANTOFAGASTA - CHILE"
624226,"2017-10-15 04:14:38.3",39.22,26.69,8,2.4,"NEAR THE COAST OF WESTERN TURKEY"
624232,"2017-10-15 04:21:13.0",-30.36,-72.19,28,3.0,"OFFSHORE COQUIMBO - CHILE"
624229,"2017-10-15 04:26:19.3",15.39,-93.96,47,4.2,"OFFSHORE CHIAPAS - MEXICO"
625234,"2017-10-15 04:37:51.8",61.11,-150.62,35,2.5,"SOUTHERN ALASKA"
624233,"2017-10-15 05:21:53.2",36.89,27.26,2,2.7,"DODECANESE IS.-TURKEY BORDER REG"
624290,"2017-10-15 05:48:39.5",38.04,20.27,21,2.1,GREECE
624237,"2017-10-15 06:08:03.1",36.9,27.56,8,2.8,"DODECANESE IS.-TURKEY BORDER REG"
624295,"2017-10-15 06:12:08.0",38.72,20.6,10,2.6,GREECE
624234,"2017-10-15 06:14:19.6",37.61,38.47,7,2.0,"EASTERN TURKEY"
624235,"2017-10-15 06:26:17.7",32.52,-116.97,12,2.8,"TIJUANA AREA - BAJA CALIF - MEXICO"
624242,"2017-10-15 06:33:57.2",49.31,155.23,72,4.6,"KURIL ISLANDS"
624239,"2017-10-15 06:36:20.2",19.43,-155.31,6,3.6,"ISLAND OF HAWAII - HAWAII"
624351,"2017-10-15 06:50:30.7",56.55,-168.36,30,4.2,"PRIBILOF ISLANDS - ALASKA REGION"
624244,"2017-10-15 07:09:36.3",38.46,22.37,3,2.4,GREECE
624478,"2017-10-15 07:48:20.5",42.6,-111.42,6,2.4,"SOUTHERN IDAHO"
624247,"2017-10-15 07:56:10.0",-17.94,-69.77,130,3.4,"TARAPACA - CHILE"
624315,"2017-10-15 09:05:22.0",16.45,-94.98,52,3.9,"OAXACA - MEXICO"
624251,"2017-10-15 09:07:47.0",-22.46,-69.05,96,3.0,"ANTOFAGASTA - CHILE"
624314,"2017-10-15 09:42:10.0",16.88,-99.75,26,3.2,"GUERRERO - MEXICO"
624313,"2017-10-15 09:45:55.0",16.43,-94.95,71,3.7,"OAXACA - MEXICO"
624312,"2017-10-15 09:47:28.0",15.83,-94.96,20,4.0,"OFFSHORE OAXACA - MEXICO"
624265,"2017-10-15 09:49:33.0",-11.91,-76.33,19,3.5,"CENTRAL PERU"
624254,"2017-10-15 09:49:41.9",36.93,27.66,5,2.8,"DODECANESE IS.-TURKEY BORDER REG"
624259,"2017-10-15 09:51:47.4",37.0,16.37,15,3.5,"IONIAN SEA"
624311,"2017-10-15 10:00:42.0",16.43,-95.21,38,3.8,"OAXACA - MEXICO"
624261,"2017-10-15 10:16:25.9",35.83,-90.12,17,3.6,ARKANSAS
624263,"2017-10-15 10:25:59.0",-20.13,-69.13,94,3.8,"TARAPACA - CHILE"
624262,"2017-10-15 10:29:44.5",19.43,-155.31,6,2.0,"ISLAND OF HAWAII - HAWAII"
624318,"2017-10-15 10:38:15.0",17.39,-100.95,43,3.8,"GUERRERO - MEXICO"
624788,"2017-10-15 10:43:09.9",36.65,140.62,68,4.0,"NEAR EAST COAST OF HONSHU - JAPAN"
624319,"2017-10-15 10:45:32.0",16.62,-94.87,46,3.6,"OAXACA - MEXICO"
624272,"2017-10-15 10:47:04.0",16.7,-94.68,10,4.0,"OAXACA - MEXICO"
624271,"2017-10-15 10:59:13.5",-32.2,-72.77,3,4.9,"OFF COAST OF VALPARAISO - CHILE"
624317,"2017-10-15 11:05:07.0",16.79,-99.66,6,3.0,"GUERRERO - MEXICO"
624316,"2017-10-15 11:23:39.0",16.48,-98.56,20,3.0,"GUERRERO - MEXICO"
624275,"2017-10-15 11:31:52.1",51.52,16.11,1,2.3,POLAND
624277,"2017-10-15 11:33:56.4",42.61,-111.46,3,3.3,"SOUTHERN IDAHO"
624282,"2017-10-15 11:38:11.0",40.8,47.07,27,3.2,AZERBAIJAN
624279,"2017-10-15 11:48:47.0",-25.41,-70.7,74,3.0,"OFFSHORE ANTOFAGASTA - CHILE"
